Initials	Item Name	Rarity	Min Ups	Max Ups	Min Base	Max Base	Class	Health	Max Potential	Min Potential	Lowest Health	Highest Health	Unrounded Min Upgrades	Unrounded Max Upgrades	Average Ups	Average Base	Unrounded Min Base	Unrounded Max Base
DT	Mage Spellbook		9	11	74	82	Mage		134	110	0	0	9.5	10.5	10	78	74.1	81.9
DT	Enchanted Sword		7	9	43	49	War		70	57	0	0	7.6	8.4	8	46	43.7	48.3
DT	Enchanted Sword		8	10	48	54	War		81	66	0	0	8.55	9.45	9	51	48.45	53.55
DT	Enchanted Sword		9	11	55	61	War		98	79	0	0	9.5	10.5	10	58	55.1	60.9
DT	Enchanted Sword		10	12	61	69	War		116	94	0	0	10.45	11.55	11	65	61.75	68.25
DT	Ghostly Greataxe		8	10	72	80	War		126	101	0	0	8.55	9.45	9	76	72.2	79.8
DT	Ghostly Greataxe		9	11	79	89	War		145	117	0	0	9.5	10.5	10	84	79.8	88.2
DT	Ghostly Greataxe		10	12	86	96	War		165	134	0	0	10.45	11.55	11	91	86.45	95.55
DT	Ghostly Greataxe		12	14	94	104	War		196	161	0	0	12.35	13.65	13	99	94.05	103.95
DT	Ghoul Slayer		13	15	81	91	War		178	145	0	0	13.3	14.7	14	86	81.7	90.3
DT	Ghoul Slayer		15	17	88	98	War		213	173	0	0	15.2	16.8	16	93	88.35	97.65
DT	Ghoul Slayer		17	19	95	105	War		248	204	0	0	17.1	18.9	18	100	95	105
DT	Ghoul Slayer		19	23	103	115	War		308	244	0	0	19.95	22.05	21	109	103.55	114.45
DT	Grand Claymore		8	10	52	58	War		89	72	0	0	8.55	9.45	9	55	52.25	57.75
DT	Grand Claymore		9	11	57	63	War		101	82	0	0	9.5	10.5	10	60	57	63
DT	Grand Claymore		10	12	63	71	War		120	97	0	0	10.45	11.55	11	67	63.65	70.35
DT	Grand Claymore		12	14	70	78	War		145	117	0	0	12.35	13.65	13	74	70.3	77.7
DT	Onyx Staff		8	10	61	69	Mage		106	86	0	0	8.55	9.45	9	65	61.75	68.25
DT	Onyx Staff		9	11	70	78	Mage		127	102	0	0	9.5	10.5	10	74	70.3	77.7
DT	Onyx Staff		10	12	78	88	Mage		151	121	0	0	10.45	11.55	11	83	78.85	87.15
DT	Onyx Staff		12	14	89	99	Mage		186	152	0	0	12.35	13.65	13	94	89.3	98.7
DT	Pulverizer		8	10	61	69	War		106	86	0	0	8.55	9.45	9	65	61.75	68.25
DT	Pulverizer		9	11	68	76	War		122	100	0	0	9.5	10.5	10	72	68.4	75.6
DT	Pulverizer		10	12	75	83	War		141	116	0	0	10.45	11.55	11	79	75.05	82.95
DT	Pulverizer		12	14	82	92	War		173	140	0	0	12.35	13.65	13	87	82.65	91.35
DT	Holy Staff		12	14	81	91	Mage		170	139	0	0	12.35	13.65	13	86	81.7	90.3
DT	Holy Staff		14	16	89	99	Mage		204	166	0	0	14.25	15.75	15	94	89.3	98.7
DT	Holy Staff		16	18	96	108	Mage		244	181	0	0	16.15	17.85	17	102	96.9	107.1
DT	Holy Staff		19	23	108	120	Mage		318	254	0	0	19.95	22.05	21	114	108.3	119.7
DT	Desert Fury		22	26	114	126	Legendary		358	295	0	0	22.8	25.2	24	120	114	126
DT	Novice | Blue Wizard		1	3	3	5	DPS Armor	20	8	4	19	21	1.9	2.1	2	4	3.8	4.2
DT	Novice | Blue Wizard		2	4	4	6	DPS Armor	30	10	6	28	32	2.85	3.15	3	5	4.75	5.25
DT	Novice | Blue Wizard		3	5	5	7	DPS Armor	40	12	8	38	42	3.8	4.2	4	6	5.7	6.3
DT	Novice | Blue Wizard		4	6	6	8	DPS Armor	50	14	10	47	53	4.75	5.25	5	7	6.65	7.35
DT	Iron Armor		1	3	57	63	Guardian		72	59	0	0	1.9	2.1	2	60	57	63
DT	Iron Armor		2	4	68	76	Guardian		70	74	0	0	2.85	3.15	3	72	68.4	75.6
DT	Iron Armor		3	5	80	90	Guardian		112	92	0	0	3.8	4.2	4	85	80.75	89.25
DT	Iron Armor		4	6	95	105	Guardian		138	113	0	0	4.75	5.25	5	100	95	105
DT	Mercenary/Elemental		3	5	6	8	DPS Armor	45	13	9	42	48	3.8	4.2	4	7	6.65	7.35
DT	Mercenary/Elemental		4	6	7	9	DPS Armor	55	15	11	52	58	4.75	5.25	5	8	7.6	8.4
DT	Mercenary/Elemental		5	7	8	10	DPS Armor	65	17	13	61	69	5.7	6.3	6	9	8.55	9.45
DT	Mercenary/Elemental		6	8	9	11	DPS Armor	75	19	15	71	79	6.65	7.35	7	10	9.5	10.5
DT	Crusader's		3	5	118	132	Guardian		165	135	0	0	3.8	4.2	4	125	118.75	131.25
DT	Crusader's		4	6	131	145	Guardian		191	157	0	0	4.75	5.25	5	138	131.1	144.9
DT	Crusader's		5	7	144	160	Guardian		222	181	0	0	5.7	6.3	6	152	144.4	159.6
DT	Crusader's		6	8	161	179	Guardian		255	213	0	0	6.65	7.35	7	170	161.5	178.5
DT	Red Knight/Templar		5	7	9	11	DPS Armor	85	18	14	80	90	5.7	6.3	6	10	9.5	10.5
DT	Red Knight/Templar		6	8	11	13	DPS Armor	95	21	17	90	100	6.65	7.35	7	12	11.4	12.6
DT	Red Knight/Templar		8	10	14	16	DPS Armor	105	26	22	99	111	8.55	9.45	9	15	14.25	15.75
DT	Red Knight/Templar		9	11	16	18	DPS Armor	115	29	25	109	121	9.5	10.5	10	17	16.15	17.85
DT	Guardian		5	7	190	210	Guardian		280	238	0	0	5.7	6.3	6	200	190	210
DT	Guardian		6	8	223	247	Guardian		327	283	0	0	6.65	7.35	7	235	223.25	246.75
DT	Guardian		8	10	256	284	Guardian		384	336	0	0	8.55	9.45	9	270	256.5	283.5
DT	Guardian		9	11	323	357	Guardian		467	413	0	0	9.5	10.5	10	340	323	357
WO	Holy Grail		17	19	99	111	Mage		260	214	0	0	17.1	18.9	18	105	99.75	110.25
WO	Holy Grail		19	23	109	121	Mage		320	255	0	0	19.95	22.05	21	115	109.25	120.75
WO	Holy Grail		22	26	118	132	Mage		368	304	0	0	22.8	25.2	24	125	118.75	131.25
WO	Holy Grail		25	29	128	142	Mage		415	353	0	0	25.65	28.35	27	135	128.25	141.75
WO	Steel Strongsword		16	18	95	105	War		238	195	0	0	16.15	17.85	17	100	95	105
WO	Steel Strongsword		19	21	104	116	War		290	245	0	0	19	21	20	110	104.5	115.5
WO	Steel Strongsword		20	24	114	128	War		343	275	0	0	20.9	23.1	22	121	114.95	127.05
WO	Steel Strongsword		22	26	123	137	War		377	314	0	0	22.8	25.2	24	130	123.5	136.5
WO	Coldstone Sword		16	18	114	128	War		283	235	0	0	16.15	17.85	17	121	114.95	127.05
WO	Coldstone Sword		18	20	125	139	War		320	277	0	0	18.05	19.95	19	132	125.4	138.6
WO	Coldstone Sword		19	23	134	150	War		367	303	0	0	19.95	22.05	21	142	134.9	149.1
WO	Coldstone Sword		21	25	142	158	War		398	335	0	0	21.85	24.15	23	150	142.5	157.5
WO	Sapphire Spell Dagger		20	24	114	126	Mage		338	275	0	0	20.9	23.1	22	120	114	126
WO	Sapphire Spell Dagger		23	27	126	140	Mage		393	328	0	0	23.75	26.25	25	133	126.35	139.65
WO	Sapphire Spell Dagger		26	30	137	153	Mage		442	377	0	0	26.6	29.4	28	145	137.75	152.25
WO	Sapphire Spell Dagger		29	33	152	168	Mage		492	430	0	0	29.45	32.55	31	160	152	168
WO	Ice Enhanced Sword		22	26	130	144	War		388	325	0	0	22.8	25.2	24	137	130.15	143.85
WO	Ice Enhanced Sword		24	28	137	153	War		422	357	0	0	24.7	27.3	26	145	137.75	152.25
WO	Ice Enhanced Sword		26	30	147	163	War		455	393	0	0	26.6	29.4	28	155	147.25	162.75
WO	Ice Enhanced Sword		28	32	156	174	War		490	425	0	0	28.5	31.5	30	165	156.75	173.25
WO	Infernal Elemental Sword		22	26	142	158	War		408	345	0	0	22.8	25.2	24	150	142.5	157.5
WO	Infernal Elemental Sword		24	28	152	168	War		442	380	0	0	24.7	27.3	26	160	152	168
WO	Infernal Elemental Sword		26	30	161	179	War		475	413	0	0	26.6	29.4	28	170	161.5	178.5
WO	Infernal Elemental Sword		27	31	169	187	War		495	433	0	0	27.55	30.45	29	178	169.1	186.9
WO	Snowy Greatstaff		24	28	135	151	Mage		418	354	0	0	24.7	27.3	26	143	135.85	150.15
WO	Snowy Greatstaff		27	31	150	166	Mage		470	407	0	0	27.55	30.45	29	158	150.1	165.9
WO	Snowy Greatstaff		30	34	158	176	Mage		512	448	0	0	30.4	33.6	32	167	158.65	175.35
WO	Snowy Greatstaff		33	37	169	187	Mage		555	493	0	0	33.25	36.75	35	178	169.1	186.9
WO	Magma Infused Staff		28	32	156	174	Mage		490	425	0	0	28.5	31.5	30	165	156.75	173.25
WO	Magma Infused Staff		31	35	171	189	Mage		537	475	0	0	31.35	34.65	33	180	171	189
WO	Magma Infused Staff		34	38	185	205	Mage		585	523	0	0	34.2	37.8	36	195	185.25	204.75
WO	Magma Infused Staff		37	41	199	221	Mage		631	568	0	0	37.05	40.95	39	210	199.5	220.5
WO	Reinforced Steel Sword		27	31	156	174	War		480	415	0	0	27.55	30.45	29	165	156.75	173.25
WO	Reinforced Steel Sword		29	33	166	184	War		512	450	0	0	29.45	32.55	31	175	166.25	183.75
WO	Reinforced Steel Sword		32	36	175	195	War		554	491	0	0	32.3	35.7	34	185	175.75	194.25
WO	Reinforced Steel Sword		34	38	185	205	War		585	523	0	0	34.2	37.8	36	195	185.25	204.75
WO	Frozen Greatsword		32	36	172	192	War		551	487	0	0	32.3	35.7	34	182	172.9	191.1
WO	Frozen Greatsword		35	39	180	200	War		590	527	0	0	35.15	38.85	37	190	180.5	199.5
WO	Frozen Greatsword		37	41	190	210	War		620	558	0	0	37.05	40.95	39	200	190	210
WO	Frozen Greatsword		38	44	199	221	War		661	578	0	0	38.95	43.05	41	210	199.5	220.5
WO	Bluefire Staff		33	37	175	195	Mage		564	501	0	0	33.25	36.75	35	185	175.75	194.25
WO	Bluefire Staff		36	40	190	210	Mage		610	548	0	0	36.1	39.9	38	200	190	210
WO	Bluefire Staff		39	45	204	226	Mage		676	594	0	0	39.9	44.1	42	215	204.25	225.75
WO	Bluefire Staff		42	48	218	242	Mage		722	638	0	0	42.75	47.25	45	230	218.5	241.5
WO	Diamond Encrusted Blade		36	40	185	205	War		605	543	0	0	36.1	39.9	38	195	185.25	204.75
WO	Diamond Encrusted Blade		38	44	196	218	War		658	575	0	0	38.95	43.05	41	207	196.65	217.35
WO	Diamond Encrusted Blade		40	46	208	230	War		690	608	0	0	40.85	45.15	43	219	208.05	229.95
WO	Diamond Encrusted Blade		42	48	218	242	War		722	638	0	0	42.75	47.25	45	230	218.5	241.5
WO	Dragon Slayer		39	45	204	226	War		676	594	0	0	39.9	44.1	42	215	204.25	225.75
WO	Dragon Slayer		42	48	215	239	War		719	635	0	0	42.75	47.25	45	227	215.65	238.35
WO	Dragon Slayer		44	50	227	251	War		751	667	0	0	44.65	49.35	47	239	227.05	250.95
WO	Dragon Slayer		46	52	237	263	War		783	697	0	0	46.55	51.45	49	250	237.5	262.5
WO	Crimson Spell Blade		37	41	194	216	Mage		626	563	0	0	37.05	40.95	39	205	194.75	215.25
WO	Crimson Spell Blade		40	46	209	231	Mage		691	609	0	0	40.85	45.15	43	220	209	231
WO	Crimson Spell Blade		44	50	223	247	Mage		747	663	0	0	44.65	49.35	47	235	223.25	246.75
WO	Crimson Spell Blade		46	52	237	263	Mage		783	697	0	0	46.55	51.45	49	250	237.5	262.5
WO	Onyx Spell Scythe		45	51	228	252	Mage		762	678	0	0	45.6	50.4	48	240	228	252
WO	Onyx Spell Scythe		49	55	247	273	Mage		823	737	0	0	49.4	54.6	52	260	247	273
WO	Onyx Spell Scythe		53	59	275	305	Mage		895	805	0	0	53.2	58.8	56	290	275.5	304.5
WO	Onyx Spell Scythe		57	63	304	336	Mage		966	874	0	0	57	63	60	320	304	336
WO	Mossy Greatsword		60	68	223	247	War		927	823	0	0	60.8	67.2	64	235	223.25	246.75
WO	Mossy Greatsword		64	72	237	263	War		983	877	0	0	64.6	71.4	68	250	237.5	262.5
WO	Mossy Greatsword		68	76	256	284	War		1044	936	0	0	68.4	75.6	72	270	256.5	283.5
WO	Mossy Greatsword		72	80	275	305	War		1105	995	0	0	72.2	79.8	76	290	275.5	304.5
WO	Hardened Ice Sword		50	56	247	273	War		833	747	0	0	50.35	55.65	53	260	247	273
WO	Hardened Ice Sword		52	58	266	294	War		874	786	0	0	52.25	57.75	55	280	266	294
WO	Hardened Ice Sword		54	60	285	315	War		915	825	0	0	54.15	59.85	57	300	285	315
WO	Hardened Ice Sword		56	62	304	336	War		956	864	0	0	56.05	61.95	59	320	304	336
WO	Water Spellblade		51	57	261	289	Mage		859	771	0	0	51.3	56.7	54	275	261.25	288.75
WO	Water Spellblade		55	61	289	321	Mage		931	839	0	0	55.1	60.9	58	305	289.75	320.25
WO	Water Spellblade		58	66	318	352	Mage		1012	898	0	0	58.9	65.1	62	335	318.25	351.75
WO	Water Spellblade		62	70	346	384	Mage		1084	966	0	0	62.7	69.3	66	365	346.75	383.25
WO	Twin Blade Slicer		53	59	275	305	War		895	805	0	0	53.2	58.8	56	290	275.5	304.5
WO	Twin Blade Slicer		55	61	294	326	War		936	844	0	0	55.1	60.9	58	310	294.5	325.5
WO	Twin Blade Slicer		57	63	313	347	War		977	883	0	0	57	63	60	330	313.5	346.5
WO	Twin Blade Slicer		58	66	332	368	War		1028	912	0	0	58.9	65.1	62	350	332.5	367.5
WO	Onyx Hammer		56	62	304	336	War		956	864	0	0	56.05	61.95	59	320	304	336
WO	Onyx Hammer		57	65	323	357	War		1007	893	0	0	57.95	64.05	61	340	323	357
WO	Onyx Hammer		59	67	342	378	War		1048	932	0	0	59.85	66.15	63	360	342	378
WO	Onyx Hammer		62	70	361	399	War		1099	981	0	0	62.7	69.3	66	380	361	399
WO	Arcane Greatstaff		57	63	304	336	Mage		966	874	0	0	57	63	60	320	304	336
WO	Arcane Greatstaff		60	68	332	368	Mage		1048	932	0	0	60.8	67.2	64	350	332.5	367.5
WO	Arcane Greatstaff		64	72	361	399	Mage		1119	1001	0	0	64.6	71.4	68	380	361	399
WO	Arcane Greatstaff		68	76	389	431	Mage		1191	1069	0	0	68.4	75.6	72	410	389.5	430.5
WO	Molten Maul		58	66	332	368	War		1028	912	0	0	58.9	65.1	62	350	332.5	367.5
WO	Molten Maul		60	68	351	389	War		1069	951	0	0	60.8	67.2	64	370	351.5	388.5
WO	Molten Maul		63	71	370	410	War		1120	1000	0	0	63.65	70.35	67	390	370.5	409.5
WO	Molten Maul		66	74	389	431	War		1171	1049	0	0	66.5	73.5	70	410	389.5	430.5
WO	King's Spellblade		66	74	370	410	Mage		1150	1030	0	0	66.5	73.5	70	390	370.5	409.5
WO	King's Spellblade		70	78	408	452	Mage		1232	1108	0	0	70.3	77.7	74	430	408.5	451.5
WO	King's Spellblade		74	82	446	494	Mage		1314	1186	0	0	74.1	81.9	78	470	446.5	493.5
WO	King's Spellblade		77	87	484	536	Mage		1406	1254	0	0	77.9	86.1	82	510	484.5	535.5
WO	Reinforced Ice Blade		64	72	370	410	War		1130	1010	0	0	64.6	71.4	68	390	370.5	409.5
WO	Reinforced Ice Blade		67	75	399	441	War		1191	1069	0	0	67.45	74.55	71	420	399	441
WO	Reinforced Ice Blade		70	78	427	473	War		1253	1127	0	0	70.3	77.7	74	450	427.5	472.5
WO	Reinforced Ice Blade		73	81	456	504	War		1314	1186	0	0	73.15	80.85	77	480	456	504
WO	Glacial Greatsword		68	76	413	457	War		1217	1093	0	0	68.4	75.6	72	435	413.25	456.75
WO	Glacial Greatsword		71	79	441	489	War		1279	1151	0	0	71.25	78.75	75	465	441.75	488.25
WO	Glacial Greatsword		74	82	470	520	War		1340	1210	0	0	74.1	81.9	78	495	470.25	519.75
WO	Glacial Greatsword		76	86	498	552	War		1412	1258	0	0	76.95	85.05	81	525	498.75	551.25
WO	Snow Elemental Staff		72	80	427	473	Mage		1273	1147	0	0	72.2	79.8	76	450	427.5	472.5
WO	Snow Elemental Staff		76	84	465	515	Mage		1355	1225	0	0	76	84	80	490	465.5	514.5
WO	Snow Elemental Staff		79	89	503	557	Mage		1447	1293	0	0	79.8	88.2	84	530	503.5	556.5
WO	Snow Elemental Staff		83	93	541	599	Mage		1529	1371	0	0	83.6	92.4	88	570	541.5	598.5
WO	Royal Slicer		87	97	456	504	War		1474	1326	0	0	87.4	96.6	92	480	456	504
WO	Royal Slicer		72	80	484	536	War		1336	1204	0	0	72.2	79.8	76	510	484.5	535.5
WO	Royal Slicer		75	83	513	567	War		1397	1263	0	0	75.05	82.95	79	540	513	567
WO	Royal Slicer		77	87	541	599	War		1469	1311	0	0	77.9	86.1	82	570	541.5	598.5
WO	King's Greatsword		76	84	498	552	War		1392	1258	0	0	76	84	80	525	498.75	551.25
WO	King's Greatsword		78	88	527	583	War		1463	1307	0	0	78.85	87.15	83	555	527.25	582.75
WO	King's Greatsword		81	91	555	615	War		1525	1365	0	0	81.7	90.3	86	585	555.75	614.25
WO	King's Greatsword		84	94	584	646	War		1586	1424	0	0	84.55	93.45	89	615	584.25	645.75
WO	Ice Queen Wand		77	87	484	536	Mage		1406	1254	0	0	77.9	86.1	82	510	484.5	535.5
WO	Ice Queen Wand		81	91	532	588	Mage		1498	1342	0	0	81.7	90.3	86	560	532	588
WO	Ice Queen Wand		85	95	579	641	Mage		1591	1429	0	0	85.5	94.5	90	610	579.5	640.5
WO	Ice Queen Wand		89	99	627	693	Mage		1683	1517	0	0	89.3	98.7	94	660	627	693
WO	Runic Hammer		79	89	541	599	War		1489	1331	0	0	79.8	88.2	84	570	541.5	598.5
WO	Runic Hammer		82	92	570	630	War		1550	1390	0	0	82.65	91.35	87	600	570	630
WO	Runic Hammer		85	95	598	662	War		1612	1448	0	0	85.5	94.5	90	630	598.5	661.5
WO	Runic Hammer		88	98	627	693	War		1673	1507	0	0	88.35	97.65	93	660	627	693
WO	Demonic Spellblade		85	95	598	662	Mage		1612	1448	0	0	85.5	94.5	90	630	598.5	661.5
WO	Demonic Spellblade		90	100	641	709	Mage		1709	1541	0	0	90.25	99.75	95	675	641.25	708.75
WO	Demonic Spellblade		95	105	684	756	Mage		1806	1634	0	0	95	105	100	720	684	756
WO	Demonic Spellblade		99	111	726	804	Mage		1914	1716	0	0	99.75	110.25	105	765	726.75	803.25
WO	Demonic Greatsword		102	114	769	851	War		1991	1789	0	0	102.6	113.4	108	810	769.5	850.5
WO	Demonic Greatsword		106	118	807	893	War		2073	1867	0	0	106.4	117.6	112	850	807.5	892.5
WO	Demonic Greatsword		110	122	845	935	War		2155	1945	0	0	110.2	121.8	116	890	845.5	934.5
WO	Demonic Greatsword		114	126	883	977	War		2237	2023	0	0	114	126	120	930	883.5	976.5
WO	Mighty Frozen Greatsword		85	95	598	662	War		1612	1448	0	0	85.5	94.5	90	630	598.5	661.5
WO	Mighty Frozen Greatsword		89	99	636	704	War		1694	1526	0	0	89.3	98.7	94	670	636.5	703.5
WO	Mighty Frozen Greatsword		93	103	674	746	War		1776	1604	0	0	93.1	102.9	98	710	674.5	745.5
WO	Mighty Frozen Greatsword		96	108	712	788	War		1868	1672	0	0	96.9	107.1	102	750	712.5	787.5
WO	Ice Reaver		93	103	660	730	Mage		1760	1590	0	0	93.1	102.9	98	695	660.25	729.75
WO	Ice Reaver		97	109	703	777	Mage		1867	1673	0	0	97.85	108.15	103	740	703	777
WO	Ice Reaver		102	114	745	825	Mage		1965	1765	0	0	102.6	113.4	108	785	745.75	824.25
WO	Ice Reaver		107	119	788	872	Mage		2062	1858	0	0	107.35	118.65	113	830	788.5	871.5
WO	Godsword		91	101	655	725	War		1735	1565	0	0	91.2	100.8	96	690	655.5	724.5
WO	Godsword		95	105	693	767	War		1817	1643	0	0	95	105	100	730	693.5	766.5
WO	Godsword		98	110	731	809	War		1909	1711	0	0	98.8	109.2	104	770	731.5	808.5
WO	Godsword		102	114	769	851	War		1991	1789	0	0	102.6	113.4	108	810	769.5	850.5
WO	Ice Infused Slicer		96	108	712	788	War		1868	1672	0	0	96.9	107.1	102	750	712.5	787.5
WO	Ice Infused Slicer		100	112	750	830	War		1950	1750	0	0	100.7	111.3	106	790	750.5	829.5
WO	Ice Infused Slicer		104	116	788	872	War		2032	1828	0	0	104.5	115.5	110	830	788.5	871.5
WO	Ice Infused Slicer		108	120	826	914	War		2114	1906	0	0	108.3	119.7	114	870	826.5	913.5
WO	Elder Void Wand		99	111	726	804	Mage		1914	1716	0	0	99.75	110.25	105	765	726.75	803.25
WO	Elder Void Wand		104	116	769	851	Mage		2011	1809	0	0	104.5	115.5	110	810	769.5	850.5
WO	Elder Void Wand		109	121	812	898	Mage		2108	1902	0	0	109.25	120.75	115	855	812.25	897.75
WO	Elder Void Wand		114	126	859	951	Mage		2211	1999	0	0	114	126	120	905	859.75	950.25
WO	Azerite Greatstaff		107	119	802	888	Mage		2078	1872	0	0	107.35	118.65	113	845	802.75	887.25
WO	Azerite Greatstaff		112	124	845	935	Mage		2175	1965	0	0	112.1	123.9	118	890	845.5	934.5
WO	Azerite Greatstaff		116	130	888	982	Mage		2282	2048	0	0	116.85	129.15	123	935	888.25	981.75
WO	Azerite Greatstaff		121	135	940	1040	Mage		2390	2150	0	0	121.6	134.4	128	990	940.5	1039.5
WO	Frozen Lord's Greatsword		108	120	826	914	War		2114	1906	0	0	108.3	119.7	114	870	826.5	913.5
WO	Frozen Lord's Greatsword		112	124	864	956	War		2196	1984	0	0	112.1	123.9	118	910	864.5	955.5
WO	Frozen Lord's Greatsword		115	129	902	998	War		2288	2052	0	0	115.9	128.1	122	950	902.5	997.5
WO	Frozen Lord's Greatsword		119	133	940	1040	War		2370	2130	0	0	119.7	132.3	126	990	940.5	1039.5
WO	Crystalised Greatsword		128	142	1092	1208	Legendary		2628	2372	0	0	128.25	141.75	135	1150	1092.5	1207.5
WO	Ice		10	12	17	19	DPS Armor	135	27	31	128	142	10.45	11.55	11	18	17.1	18.9
WO	Ice		12	14	19	23	DPS Armor	170	31	37	161	179	12.35	13.65	13	21	19.95	22.05
WO	Ice		14	16	22	26	DPS Armor	205	36	44	194	216	14.25	15.75	15	24	22.8	25.2
WO	Ice		16	18	25	29	DPS Armor	240	42	54	228	252	16.15	17.85	17	27	25.65	28.35
WO	Ice Guardian		10	12	380	420	Guardian		540	480	0	0	10.45	11.55	11	400	380	420
WO	Ice Guardian		12	14	427	473	Guardian		613	547	0	0	12.35	13.65	13	450	427.5	472.5
WO	Ice Guardian		14	16	475	525	Guardian		685	615	0	0	14.25	15.75	15	500	475	525
WO	Ice Guardian		16	18	522	578	Guardian		758	682	0	0	16.15	17.85	17	550	522.5	577.5
